Store Name,Address line 1,Address line 2,City,State,Postal code,Country,Phone,Website,Email,Latitude,Longitude,Filters,Notes,Visible
Michael J Haug Od - Vs,316 W. Mission Ave #118,,Escondido,CA,92025,US,+17607467752,,,33.129945,-117.091193,Ophthalmic; Spy Optic sunglasses,,Yes
Blue Mountain Optometry,235 N. El Camino Real,,Encinitas,CA,92024-2805,US,+17602306678,,,33.051644,-117.260195,Ophthalmic; Spy Optic sunglasses,,Yes
Department Of The Navy,3500 ATTU RD BLDG 104,,San Diego,CA,92155-5589,US,+17184317900,,,32.675315,-117.162313,Spy Optic sunglasses,,Yes
Optom Eyes - Mission Valley San Diego,5638 Mission Cetner Rd Ste 103,,San Diego,CA,92108,US,+17603363003,,,32.774071,-117.157488,Ophthalmic; Spy Optic sunglasses,,Yes
Sunglass Plus - Teymour Inc,2325 East Lincoln Ave.,,Escondido,CA,92027,US,+19092282672,,,33.154733,-117.054231,Spy Optic sunglasses,,Yes
Sportrx Llc San Diego 5070 Santa Fe St Ste C,5070 Santa Fe St Ste C,,San Diego,CA,92109,US,+18585710240,,,32.815299,-117.221083,Sport protective glasses; Spy Optic sunglasses,,Yes
A/p Encinitas,1105 S Coast Hwy 101,,Encinitas,CA,92024,US,+17607536595,,,33.037944,-117.292419,Spy Optic sunglasses,,Yes
Sun Diego At Wavehouse/mission Beach,Sun Diego At Wavehouse/mission Beach,,San Diego,CA,92109,US,+17607343818,,,32.7699521,-117.2516435,Sport protective glasses; Spy Optic sunglasses,,Yes
Inlet Bay Marina,4314 Shoreline Dr.,,Fort Collins,CO,80526,US,+19702228166,,,40.526674,-105.160534,Sport protective glasses; Spy Optic sunglasses,,Yes
Lemax Enterprises / Sunglass Optical - Brands,1220 Summit View Drive,,Louisville,CO,80027,US,+16192914810,,,39.991641,-105.128653,Ophthalmic; Spy Optic sunglasses,,Yes
Kevin Tanner Loveland,114 14th St SW,,Loveland,CO,80537-6341,US,+19705873937,,,40.377927,-105.078704,Spy Optic sunglasses,,Yes
Copper Mountain Retail Warehouse,33171 Hwy 91,,Copper Mountain,CO,80443,US,+19709682318,,,39.49772,-106.14048,Ski helmets; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
Butte & Co - Ssl Bg Mt Crested Butte,15 Emmons Road,,Mt Crested Butte,CO,81225,US,+19703497581,,,38.900038,-106.966167,Ski helmets; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
Mountain View Sports,22869 US HWY 6,,Keystone,CO,80435,US,,,,39.608902,-105.953519,Ski helmets; Sport protective glasses; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
Purgatory Resort - Durango Mtn Durango 93 Needles Way C106,93 Needles Way C106,,Durango,CO,81301,US,+17608048420,,,37.63077,-107.814828,Ski helmets; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
Rocky Mountain Cycle,412 N Chelton Rd,,Colorado Springs,CO,80909,US,+17195919700,,,38.838342,-104.767444,Sport protective glasses; Spy Optic sunglasses,,Yes
Intersport France Sa,Intersport,,Longjumeau 0,,91164,FR,,,,48.6930642,2.2947615,Sport protective glasses; Spy Optic sunglasses,,Yes
Jccm Cabassa,Villa Les Marcassins 123 Avenue Serge Barranx,,Biscarrosse,,40600,FR,+33684591022,,,44.4485446,-1.2485002,Spy Optic sunglasses,,Yes
La Lunetterie Prince Hinoi,55 Av Du Regent Paraita,,Papeete Tahiti,,98713,FR,+68940410222,,,-17.63576,-149.453446,Ophthalmic; Spy Optic sunglasses,,Yes
Sarl Floboski Skiset,7 Av Rene Froger,,Briancon,,5100,FR,,,,44.896523,6.630581,Ski helmets; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
Peter And May Paris,8 Boulevard De La Madeleine,,Paris,,75009,FR,+33156036626,,,48.869971,2.326821,Spy Optic sunglasses,,Yes
Opticlibre,2B Rue Du Cap Vert,,Quetigny,,21800,FR,+33247582417,,,47.313015,5.092717,Ophthalmic; Spy Optic sunglasses,,Yes
Centre Optique Mutualiste,Impasse Joliot Curie Zac Ormeau,,Tarbes,,65000,FR,,,,43.224703,0.0787569,Ophthalmic; Spy Optic sunglasses,,Yes
Intersport France Sa,Tiers Payeur Bp 500,,Longjumeau Cedex,,91164,FR,,,,48.6930642,2.2947615,Sport protective glasses; Spy Optic sunglasses,,Yes
Alloptik Augenoptik Am Markt,Markt 23,,Schneeberg,,8289,DE,,,,50.5839563,12.6359194,Ophthalmic; Spy Optic sunglasses,,Yes
Brillen Mahl Gmbh,Marktstrasse 15-17,,Lebach,,66822,DE,,,,49.4105163,6.9111495,Ophthalmic; Spy Optic sunglasses,,Yes
Rubi Sport,Bahnhofstr.1,,Seeg Im Allgaeu,,87637,DE,,,,47.6547594,10.6088563,Sport protective glasses; Spy Optic sunglasses,,Yes
Meutzner Optik Gmbh,Seetrasse 19,,Ahlbeck,,17419,DE,,,,53.9420991,14.1876882,Ophthalmic; Spy Optic sunglasses,,Yes
Gerstner Optik,Rudolf-Breitscheid-Strasse 18,,Zschopau,,9405,DE,,,,50.7474796,13.0719961,Ophthalmic; Spy Optic sunglasses,,Yes
Sport Thuy,Haupstrasse 22,,Bischofsmais,,94253,DE,,,,48.9177693,13.0836164,Ski helmets; Sport protective glasses; Spy Optic ski goggles; Spy Optic sunglasses,,Yes
